document_id,clean_text,sentiment
0,amazing movie marvel studios hyped movie since first teaser movie actually exceedes expectations marvel showing marvelous magic since ironman shangchi another diamond crown end mcus phase  fans eagerly waiting big movie black widow mark eternals also disappointed majority fans changchi filled gap action scenes fresh engaging martial arts combined chinese mythological powers makes action scenes interesting character arc story building satisfying rushed slow paced whole movie engaging till end would love see another movie franchise,positive
1,"ill honest  marvel movies top  even  within marvel universe would say shangchi top  know blasphemy think  better iron man would admit yes  origin story arguably better characters lot deeper mandarin conflicted man evil good well like real life movie better avengers ragnarok infinity wars hard say means right best marvel opinion

plus im sucker chinese movies chinese language spoken   favourite times absolute favourite course hero chinese language artistry culture magnificent

all well done marvel director destin worked make movie reality average summer action movie close masterpiece humour pretty swell too

cheers",positive
2,finally fun entertaining movie without garbage hollyweird offers great special effects story line best movie seen since covid outbreak,Negative
3,goal mcu solo film sell audience new character power system movie perfectly within first  minutes drawn shang character lasts throughout entire movie fight scenes love care poured hope bring team back future mcu movies involving shang pay homage old kung fu movies beautifully,Negative
4,  seem one marveling latest marvel studios offering movie technically sound visual effects stunt work sound cinematography name found mostly rehash things ive seen maybe im getting tired superhero movies,neutral
6,best marvel movie endgame story bit cliché rest absolutely amazing fight scenes best mcu opinion simu liu shangchi perfectly chosen characters nice actors good job act  another level havent seen mcu visual effects spectacular far one best origin stories marvel,Positive
7,"got admit wasnt particularly blown away anything movie might even say bored it

dont get wrong spectacle action great locations nice costume design sound design etc overall soft release worth seeing theaters specially followup endgame was

the biggest problem underwritten lead muddled personality reasons covered story devoid charm personality good dialogue

the next issue humor didnt land supporting lead awkwafina isnt normal loud self thats supposed funny every time opens mouth role supportive little dramatic questioned even doesnt ultimately matter another forgettable character given importance role deserves

finally third act weak theres balancing problem stakes cant feel tension weight action theres lot superficial cant can

in end feels like safe plot written way appeal china considering mandarin portrayed ends appealing one specific certainly doesnt feel like marvel movie bound happen introduced different aspects narrative also doesnt feel like comic book generic",Negative
8,thought great hero movie developed character well others felt like story complete story time next,Negative
9,best movie year waited kind movie whole year comedy fantasy action keeps toes  great cant wait part two,Positive
10,truly amazing movie movie depicts family well visual effects stunning martial arts incredible enough humor relieve darker notes cant wait sequel,positive
11,"characters bit incoherent straight contradict characterizations times plot needs bunch unneeded deuxex machina conveniences writers trapped corners reason thats happens get  mortal kombat ww expendables writers

also awkwafina destroying every type scene dramatic epic also comedic ones one worst acting ive ever seen type joke awkward nonsense start finish role ridiculously large dumb comic relief

but liu actually pretty good lead character potentially great shangchi world beautiful everything super fun watch futurewithout awkwafine better writers",Neutral
12,everything comes beautiful science fiction beautiful mythical creatures sometimes creatures dont seem real seemed real well done bit avatar feeling fighting safekeeping peace really beautiful selfacceptance also nicely incorporated,Positive
13,fantastic saw theaters soon streaming story characters great explore action sequences special effects keep immersed actors made story come life,Positive
14,"love movies shangchi legend ten rings one favorite marvel movies really managed make nice movie story usually gorgeous one characters nice become invested movie

i amazed good fight sequences movie like best since avengers  captain america winter soldier  maybe even better

the cgi incredible saw special effects avatar

i say ran saw fight bus  times awesome  manages give energy boost cool story extraordinary shangchi confronts past thought left behind father wants reunite lost family

xu wenwu played tony leung good villain understand empathize although know way acts wrong understand pain besides villain also father everything wants release wife

a good villain certainly one best villains year

this movie blow away love lots love bangladesh 🇧🇩",Positive
15,amazing movie original great cast nice soundtrack cgi pure eye candy good comical releaf usual great addition marvel cinematic universe cant wait whats come,Positive
16,really entertaining movie actors great simu liu brought big time excellent main character awkwafina hilarious wish screen time far marvel movies goes best one still good,Positive
17,"movie lot stuff keep hooked

 vfx whole movie visually stunning  stunt choreography awesome probably best mcu far imo

 background score felt goosebumps everytime main theme kicks soundtrack good too

 decent acting except one played shang chis father menacing screen presence

despite perfectly blended chinese culture mcus successful far action formula movie isnt free cliche moments wished second half less predictable something offer",Negative
18,film love letter asia creatures atmosphere fights really took time many people complain final fight watch anime know anime know better,Positive
19,asian representation without compromising storytelling great cinematics cgi cant wait see marvel team delivers next perfectly executed,Negative
21,absolutely loved film packed action really good martial arts film really funny got great story line acting fab,Positive
22,entertaining movie worth bus scene oh boy loop overall visual treat  neat cgi enjoyable marvel movie love dont miss,Neutral
23,movie awesomemuch better expectedaction awesome plot awesome tooacting quite goodhighly recomend seeing,Neutral
24,"shangchi legend ten rings 

well pleasant surprise much style black panther origin story really great start finish

i saw dx thrown blown rained every sensation every turn fabulus

we great acting great humour plenty magic marvel fans lacklustre black widow disaster winter soldier two goodens row snake eyes

the fight scenes well worked opening bus sequence memorable dont thing anything didnt like movie im giving  outta ",Positive
25,"watched imax version best solo since iron man  expectations movie much lively enjoyed every moment also engaging start finish kinda cuteaction movie fun stuff

this first movie focuses martial arts marvels superpower thing love see mix marvels masterlevelcgi martial art kungfu kind visual effect marvel nailed again

ive always loved marvels casting katy perfect role loved chemistry shaun also laughed loud childish stuffs

just one thing big deal action scene dragon riding doesnt fit usual marvel movie chinese flavor ok except cinematography vfx lot mesmerizing",Positive
26,"ill start saying youre looking great story youll disappointed shangchi pretty standard heros journey core shame story could inspired house flying daggers wuxia titles

so rating high story falls everything else excels

shangchi visually spectacular real treat eyes visuals incredibly distinct mcu regards aesthetics black panther walked shangchi could run marathon

the fight scenes amazing theres one weak fight meant weak theyre long great see one early ones went solid    minutes unexpected far disappointing

the first actual fight scene favourite mcu worried none others would top delightful watch glad parallel later either way writers went hard fight scenes paid off

in summary story lacking im glad way allowed everything else shine shine hope future directors take lessons aesthetics choreography shangchi",Positive
27,"overall movie exceeded expectations wish gone see theatres visually movie stunning fight scenes especially ending would looked even cooler big screen

but stepping back thinking actual story kind random predictable times im seeing theyre going incorporate rest mcu

the thing fight scenes choreography cinematography effects great think knew took advantage first half movie would new fight scene every fifteen minutes looked fantastic seemed last bit long

all liked acting pretty good pacing reasonable soundtrack unique visual effects strongpoint good movie",Negative
29,shangchi boring film characters okay story choppy confusing song choices odd plus movie way long scene end practically falling asleep,Negative
33,really liked actors spoke native language mandarin wouldve felt americanized otherwise something unfinished movie im sure pacing alright little slow fast times far storylines go exciting thought would fight scenes great though especially final grand battle scene,Positive
34,"story riddled holes plot issues since awkwafinas pedestrian character sudden get invited become part mcu team whats super power stupidity dont get wrong love character lazily written theres whole daddy issues dynamic  shang etc ridiculous dragons fighting one scores power crystals becomes stronger infantile lazy writing zero shock value anything spectacular entire runtime tedious long middle acts bumbling third act jokes cliched funny funniest parts ben kingsleys character reasons ending go karaoke  time actually cracked chuckle youd think three writers wed something cohesive coherent instead marvel superhero story got disney evil vs good dragons thrown mix tried hard create asian version black panther

its shame directing cinematography spot great svfx  although little overboard cgi ie dragons martial arts choreography outstanding although overboard awesome bus scene casting performances excellent especially leung pretty much carried film shoulders ",Positive
35,spiritual magic martial arts fighting comedy bit everything everyone highly recommend film marvel superheroes best watch films like escapism wont disappointed,Positive
37,lets agree bad movie multiple points view depends lot visual effects main characters funny nice story generate much interest seen fights many times better way almost film produced hong kong indonesia thailand last twenty years thing saves film karaoke scene unexpectedly welcome rest routine mediocre tiring bland,Negative
39,happy watched cinema found really funny perfect balance serious amusing mandarin speaking makes film feel much authentic amount films watched set another country start speaking english makes feel unrealistic film amazing worth time,Neutral
41,"whoa watched shangchi wanted put something background ended getting invested

i would go say one best singular films mcu found films thor black panther slightly boring full information couldnt get invested much wanted id slightly fallen obsession mcu past couple years shangchi could help bring obsession back

its many things main plot basically shangchi trying find family friend katie thats best way describe without minor spoilers believe film really represented culture well scenery really helped intrigue keep watching longer characters pretty likeable fight scenes amazing

a criticism would many marvel films feel like scenes dragged little long thats really picking details also found hard follow plot one point soon picked back happening

i really recommend even youre fan mcu id say one marvels strongest movies released recently really looking forward marvel takes series next",Positive
43,think shanchi perfect film deserves great score saw film wonderful suggest see excellent perfect actors film,Positive
44,cretton amazing director like totally proves love way tells stories shangchi finally like every mindless disney film new big franchises action worth compared marvel films acting expected great considering least disney knows hire actors albeit dont let people often tell real stories go watch somewhere anywhere everywhere,Positive
45,comic book reader knew nothing marvel characters enjoyed movies far movie exception greatly entertaining liked characters even though knew nothing coming movie funny cool action scenes overall good movie,Neutral
46,"hands best marvel movie theyve made movie perfect every way flow casting comedy action drama cgi story literally everything perfect

the amount emotional investment characters deep best movie ive seen long time",Positive
47,mcu aside movie stands alone epic masterpiece fight scenes visually stunning great acting great story highly reccomend,Negative
48,"martial arts meets mcu shangchi legend ten rings crouching tiger jackie chan plot film kinda humdrum sort mystical eastern fantasy cobblers practically writes itself

shangchi son immortal powerhungry warlord xu wenwu tony chiuwai leung li fala chen warrior woman hidden village ta lo falling love li becoming father wenwu gives wicked ways packs away ten legendary rings gave much power however wife killed old enemies wenwu wears rings trains son become assassin ashamed become shangchi goes hiding america becomes shaun simu liu past eventually catches father sends army ten rings steal pendants given sister xialing menger zhang mother wenwu requires pendants reveal way ta lo believes wife held captive people

this marvel movie fun plot starts get way cgi becomes overbearing intrusive early fight scenes  battle runaway bus henchman known razor fist fight highrise bamboo scaffolding  deliver lots impressively choreographed action please martial arts fans superhero addicts awkwafina shangchis loyal friend katy provides comic relief also gets stuck action

unfortunately film quickly goes downhill good guys make way ta lo little help tony slattery see iron man  furry winged creature face inevitable battle villagers wenwus army typical overblown marvel mayhem massive cgi tsunami arrives wenwu opens interdimensional gate thinks holding li prisoner instead releasing wife frees swarm flying tentacled soulsuckers big bad boss dweller fortunately ta lo people massive magical dragon side wakes adds digital whizzbangery

as technically impressive special effects found second half film visually overwhelming yet remarkably uninvolving  whirlwind pixels noisy action without much substance

 nice see hkchinese stars michelle yeoh tony leung yuen wah together marvel movie wish better one",Neutral
49,"extraordinary story film production

just input think would extraordinary every country world opened several places used places promotion new production course also language country example good film production know good film",Positive
51,loved cast music plot everything especially loved xialing powerful morris also adorable really enjoyed action well comedic scenes im ready next shangchi movie,Positive
52,really good uptake marvel movie definitely like movies mcu different cultural aspect makes fresh approach action scenes stunning story marvelously portrayed simple story direction amazing screenwriting vfx team great job loved movie,Positive
53,"sorry delay

here go

im feeling movie starts promise lost wong vs abomb

the fighting exciting movie lacks excitement though plain dull movie

its karate master yeah movie lost know idea first mcu film lost interest midway even im wasnt bad lost interest beginning

gotg mcu spiderman  im still worse mcu shang chi joined club

a movie full emptiness makes empty box jealous

im sure  fans average movie goer also held responsible horrible movies

this movie aint  even watched movie blind drunk

they tried funny wong rude drinking couples drink end credit scene wasnt funny wizard not

speaking funny didnt laugh used watch movies theatres audience often told laughed watched home therefore didnt know cue laugh

the mcu needs chill daddy issue plot

thor loki daddy issue black panta daddy issues stark daddy issues star lord daddy issues ultron daddy issues nebula gamora daddy issues shang daddy issue wasp daddy issues scott langs daughter daddy issues

no one mommy issues

dont watch movie",Negative
54,"potential marvel tendency degrading everything mindless comedy

things happen extent awkwafina avenger im getting old st",Neutral
55,"obviously film heavily americanized martial arts beautiful well done havent seen fighting scenes like hot minute brings back childhood like watching jet lee michelle yeoh jackie chan really wish spoke mandarin specific scenes though english made scenes weak personally idk threatened english didnt cut villain threat elder mandarin hit different

overall loved movie proud asian protagonist mcu understand want movie appeal americans id wish keep movie bit asian traditional super americanized lol",Positive
56,"people voted  rly story line primitive gaps filled martial arts legend ten rings legend rings give super powers see begging movie end producers added ben kingsley benedict wong tailor shangchi mcu movies feels disconnected like billy bob thornton santa bad santa michelle yeoh playing crouching tiger sad hollywood give nonkungfu roles talent sure

in short hr started check watch whole thing boring wanted end",Positive
